순위,제목,가수,가사,장르,발매일,Month
1,사랑을 했다 (LOVE SCENARIO),iKON,사랑을 했다 우리가 만나 지우지 못할 추억이 됐다 볼만한 멜로드라마 괜찮은 결말 그거면 됐다 널 사랑했다 우리가 만든 LOVE SCENARIO 이젠 조명이 꺼지고 마지막 페이지를 넘기면 조용히 막을 내리죠 에이 괜찮지만은 않아 이별을 마주한다는 건 오늘이었던 우리의 어제에 더는 내일이 없다는 건 아프긴 해도 더 끌었음 상처가 덧나니까 Ye 널 사랑했고 사랑 받았으니 난 이걸로 됐어 나 살아가면서 가끔씩 떠오를 기억 그 안에 네가 있다면 그거면 충분해 사랑을 했다 우리가 만나 지우지 못할 추억이 됐다 볼만한 멜로드라마 괜찮은 결말 그거면 됐다 널 사랑했다 우리가 만든 LOVE SCENARIO 이젠 조명이 꺼지고 마지막 페이지를 넘기면 조용히 막을 내리죠 갈비뼈 사이사이가 찌릿찌릿한 느낌 나 사랑받고 있음을 알게 해주는 눈빛 너에게 참 많이도 배웠다 반쪽을 채웠다 과거로 두기엔 너무 소중한 사람이었다 나 살아가면서 가끔씩 떠오를 기억 그 안에 네가 있다면 그거면 충분해 사랑을 했다 우리가 만나 지우지 못할 추억이 됐다 볼만한 멜로드라마 괜찮은 결말 그거면 됐다 널 사랑했다 네가 벌써 그립지만 그리워하지 않으려 해 한 편의 영화 따스했던 봄으로 너를 기억할게 우리가 만든 LOVE SCENARIO 이젠 조명이 꺼지고 마지막 페이지를 넘기면 조용히 막을 내리죠 우린 아파도 해봤고 우습게 질투도 했어 미친 듯이 사랑했고 우리 이 정도면 됐어 사랑을 했다 우리가 만나 그거면 됐다 널 사랑했다,랩/힙합,2018.01.25,201803
2,별이 빛나는 밤,마마무 (Mamamoo),손끝이 시리더니 벌써 봄이 왔네 꿈같은 바람이 불어 곳곳에 여느 때 와는 다른 듯한 이 기분이 반가워 내일은 좀 다른 날이 되려나 어둠의 그림자 깊은 이 밤에 남겨진 달이 달이 밝아와 빛을 그리고 있어 내 몸에서 널 뺀 만큼 욕조에 물이 미련이 되어 넘쳐흘러 한숨이 가득 그 공간을 채워 새벽이 찾아오면 혼자 남겨질 때면 Starry night 별이 빛나는 밤 네가 휘휘휘 불어와 너와 나 나눈 수많은 밤 나를 취하게 만들어 별이 빛나는 밤 야야야야이야 별이 빛나는 밤 야야야야야야야 별이 빛나는 밤 겨울이 지나고 또다시 꽃은 피고 따뜻한 공기 냄새가 날 감싸 달라진 거 없는 똑같은 일상이 반복돼 그래도 내일을 기다려봐 하루에 끝에서 이 자리에 남아서 날이 날이 새도록 너를 그리고 있어 Do you want me to leave No 난 그 자리 그대로 까만 밤하늘에 가려 잠시 보이지 않는 거야 새벽이 찾아오면 혼자 남겨질 때면 Starry night 별이 빛나는 밤 네가 휘휘휘 불어와 너와 나 나눈 수많은 밤 나를 취하게 만들어 별이 빛나는 밤 야야야야이야 별이 빛나는 밤 야야야야야야야 별이 빛나는 밤 Starry Starry Night 네가 없는 밤 가슴이 공허해 우리의 풍경이 저물어가 현실을 부정해 눈을 감아도 네가 보여 왜 아른거려 Leave me alone 무너져 가네 Starry night 별이 빛나는 밤 네가 휘휘휘 불어와 너와 나 나눈 수많은 밤 나를 취하게 만들어 별이 빛나는 밤 야야야야이야 별이 빛나는 밤 야야야야야야야 별이 빛나는 밤,댄스,2018.03.07,201803
3,뿜뿜,모모랜드 (MOMOLAND),설레어 너와 나의 랑데뷰 랑데뷰 내 마음을 들었다 놨다 해 맘대루 맘대루 지금 내 눈엔 눈엔 눈엔 네 어깨 무릎 발 Oh 숨이 탁 막힐 것 같아 난 너만 보면 wow wow 정신을 또 놔 놔 네 매력에 난 난 놀라게 돼 또 Hit it Hit it Hit it HO 우우우 무슨 말이 필요해 넌 숨이 콱 막힐 것 같아 넌 자꾸만 봐 자꾸 와 이제 나만 보게 될 거야 너를 들었다 놓을 거야 넌 점점 더 Fall in love Give it to you My 눈눈눈눈눈눈 눈빛 쏟아지는 My 터터터터터터 터치 하나뿐인 My 럽럽럽럽럽 My Luver 내 머리부터 뿜뿜 내 발끝까지 뿜뿜 뿜뿜 어 Just feel it 뿜뿜 네 앞에서 난 뿜뿜 네게 줄게 뿜뿜 뿜뿜 어 지금 보고 있는 게 꿈은 아닐 걸 Wake Up Wake Up 땡땡이치고 날 만나게 될 걸 Take off Take off 매력을 야 뿜어뿜어뿜어뿜어 보여줄게 Pic up the phone Now or Never Pick up Pick up wow wow 정신없이 쿵 쿵 내 마음을 뿜 뿜 사정없이 또 Hit it Hit it Hit it HO 우우우 여기서 뭘 어떻게 더 낮이나 밤이나 빛이나 미쳤나봐 떨리지 막 떨려와 이제 나만 생각 날 거야 밤에 잠도 잘 못 잘 거야 점점 더 Fall in love Give it to you My 눈눈눈눈눈눈 눈빛 쏟아지는 My 터터터터터터 터치 하나뿐인 My 럽럽럽럽럽 My Luver 내 머리부터 뿜뿜 내 발끝까지 뿜뿜 뿜뿜 어 우 너만 보면 너만 보면 내 가슴이 뿜뿜뿜뿜 뿜뿜뿜뿜 뿜 우 자꾸 봐도 자꾸 봐도 내 가슴이 쿵쿵쿵쿵 뿜뿜뿜뿜 Give it to you My 눈눈눈눈눈눈 눈빛 쏟아지는 My 터터터터터터 터치 하나뿐인 My 럽럽럽럽럽 My Luver 내 머리부터 뿜뿜 내 발끝까지 뿜뿜 뿜뿜 어 Just feel it 뿜뿜 네 앞에서 난 뿜뿜 네게 줄게 뿜뿜 뿜뿜 어,댄스,2018.01.03,201803
4,그날처럼,장덕철,참 많은 시간이 흘러가고 넌 어떻게 사는지 참 궁금해 날 걱정하는 사람들에게 다 잊었단 거짓말하는 내가 참 미운 날 아름다운 이별은 세상에 없다지만 그때 내가 조금 더 너를 편하게 보내줬다면 다른 사람 또 만나 행복할 니가 가끔은 내 생각할 때에 지을 표정이 참 궁금해 날 보는 네 눈이 좋아서 얼굴 붉히며 딴청 피던 아름답던 그날처럼 좋은 사람 만나 사랑 받고 너도 이젠 웃을 수 있길 찬란했던 우리 그날처럼 비어있는 지갑에 음식점을 서성이면 월급날이라며 손잡아 이끌어주던 만 원짜리 커플링 고맙다며 펑펑 울던 과분한 네 사랑 받을 사람 참 부러워 날 보는 네 눈이 좋아서 얼굴 붉히며 딴청 피던 아름답던 그날처럼 좋은 사람 만나 사랑 받고 너도 이젠 웃을 수 있길 찬란했던 우리 그날처럼 문득 들려오는 너의 소식에 가끔씩은 혼자 울 수 있길 끝까지 이기적인 내가 이젠 나 없이도 괜찮다 너에게 듣고 싶던 말 좋은 사람 만나 미안해 다시 돌아갈 순 없지만 아름답던 우리 그날,발라드,2017.11.28,201803
5,꽃 길,BIGBANG (빅뱅),그땐 참 좋았는데 말이야 너와 함께할 수만 있다면 때론 외롭고 슬퍼도 말이야 너와 같이 할 수만 있다면 Sing it na na na 노래해 나나나 우리 이게 마지막이 아니야 부디 또 만나요 꽃이 피면 때론 꽤 별난 일이 많아 넌 나 같이 못난 놈을 만나 다시 누군갈 사랑할 수 있을까 너 아니라면 그럴 일은 없을 것 같아 나 의식 없이 발길 흐름대로 가던 길 날 화려히 비춰주던 네 빛 한줄기 그 전율이 느껴지는 예쁜 꽃 길 그곳에 너로 인해 설수 있던 Roly poly toy 떠나려거든 보내 드리오리다 님이 가시는 길에 꽃을 뿌리오리다 그리워지면 돌아와 줘요 그때 또 다시 날 사랑해줘요 이 꽃 길 따라 잠시 쉬어가다가 그 자리 그곳에서 날 기다려요 그땐 참 좋았는데 말이야 너와 함께할 수만 있다면 때론 외롭고 슬퍼도 말이야 너와 같이 할 수만 있다면 많이 울기도 했지만 웃은 일도 많아 내 머릿속 안에는 추억이 너무 많아 이 또한 지나갈 테니까 이 다음에 만나요 꽃이 피면 1년 365 이 세상 하나뿐인 넌 내 음악의 Motive 날 일깨워주는 은인 네 커다란 꽃밭에 기대어 막 떠오르던 가사말 아직도 참 생생해 빠담빠담 너란 만개 한 꽃의 색은 100000 개 무한대 거대한 울림 Vivaldi의 사계 아직도 그댄 내 맘에 담을 수 없는 그림 내 눈을 의심하지 You are my Magical Queen 떠나려거든 보내 드리오리다 님이 가시는 길에 꽃을 뿌리오리다 그리워지면 돌아와 줘요 그때 또 다시 날 사랑해줘요 이 꽃 길 따라 잠시 쉬어가다가 그 자리 그곳에서 날 기다려요 꽃 잎 따다 입을 맞추죠 얼굴은 빨개지고 꽃 길을 깔아 준비를 하죠 그대가 오시는 길 그리워지면 돌아와 줘요 그때 또 다시 날 사랑해줘요 이 꽃 길 따라 잠시 쉬어가다가 그 자리 그곳에서 날 기다려요 꽃 잎 따다 입을 맞추죠 얼굴은 빨개지고 꽃 길을 깔아 준비를 하죠 그 자리 그곳에서 날 기다려요,R&B/Soul,2018.03.13,201803
6,Jenga (Feat. Gaeko),헤이즈 (Heize),i just wanted to play this game 사랑이란 감정에 매료돼 날 가득 채웠네 누가 시킨 적도 없는데 탑을 쌓아 올렸네 난 너의 조각들로 빼곡해 내 맘을 채운 너의 눈 코 입과 너의 특유의 말투와 억양 시야에서 흐릿해져 갈 때면 휘청거리네 나의 하루가 내 맘에 수많은 구멍이 나도 버틸 수 있는 이윤 너라고 이제 네가 한 발짝만 더 발을 빼면 난 무너질 텐데 I don't wanna play this game no more somebody help I don't wanna play this game no more somebody help 탑이 무너지고 나면 폐허가 돼버릴까 봐 펜스를 두르고 유적지로 두면 어떨까 일어나지도 않은 일을 상상하며 이음새를 붙들고 있는 나를 너는 전처럼 바라보지 않아 우리 사랑을 피사의 사탑이라 생각지 않잖아 이 게임의 끝을 준비하게 해줘 쓰러질 땐 아무도 없게 구경거리 되지 않게 내 맘을 채운 너의 눈 코 입과 너의 특유의 말투와 억양 시야에서 흐릿해져 갈 때면 휘청거리네 나의 하루가 내 맘에 수많은 구멍이 나도 버틸 수 있는 이윤 너라고 이제 네가 한 발짝만 더 발을 빼면 난 무너질 텐데 I don't wanna play this game no more somebody help I don't wanna play this game no more somebody help 바람이 불어와 더 이상 못 버틸 것 같아 다시 채워주면 안 될까 내 맘은 굳어가 의미를 잃은 것 같아 I don't wanna play this game no more somebody help I don't wanna play this game no more somebody help,랩/힙합,2018.03.08,201803
7,그때 헤어지면 돼,로이킴,나를 사랑하는 법은 어렵지 않아요 지금 모습 그대로 나를 꼭 안아주세요 우리 나중에는 어떻게 될진 몰라도 정해지지 않아서 그게 나는 좋아요 남들이 뭐라는 게 뭐가 중요해요 서로가 없음 죽겠는데 뭐를 고민해요 우리 함께 더 사랑해도 되잖아요 네가 다른 사람이 좋아지면 내가 너 없는 게 익숙해지면 그때가 오면 그때가 되면 그때 헤어지면 돼 너를 사랑하는 법도 어렵지 않아요 한 번 더 웃어주고 조금 더 아껴주면 우리 사랑하는 법도 어렵지 않아요 매일 처음 만난 눈빛으로 서로를 바라봐 주면 남들이 뭐라는 게 뭐가 중요해요 서로가 없음 죽겠는데 뭐를 고민해요 우리 함께 더 사랑해도 되잖아요 네가 다른 사람이 좋아지면 내가 너 없는 게 익숙해지면 그때가 오면 그때가 되면 그때 그때 그때 네가 원하든 말든 널 잡을 거고 내가 더 이상 지쳐 걷지 못할 때 그때가 오면 그때가 되면 그때 헤어지면 돼 그때 헤어지면 돼,발라드,2018.02.12,201803
8,Bad Boy,Red Velvet (레드벨벳),Who dat who dat who dat boy 수많은 사람 속 눈에 띈 무심한 그 표정 I like that 내 호기심을 자극하지 Oh 시크한 스타일은 덤 입은 옷은 신경 쓴 듯 안 쓴 듯 관심 없는 말투 I like that 외면해 봐도 끌려 달라 도도한 날 웃게 하잖아 알잖아 요즘 내가 Hot ah ah 날 보는 시선 너도 느껴봐 홀린 듯 날 따라와 모두 환호해 너도 곧 Ooh ooh Oh eh oh eh oh 아닌 척해도 넌 Ooh ooh Oh eh oh eh oh 한 번 내기를 해볼까 너무 쉽겐 오지 마 재미없잖아 거기서 Ooh ooh Oh eh oh eh oh 밀고 당겨볼까 Ooh ooh Oh eh oh eh oh 시작할게 Bad boy down Whoa whoa 지금부터 Bad boy down Whoa whoa 잠깐 이리 와봐 너에게만 할 말이 있어 가까이 좀 와 고갤 숙여 키를 낮춰봐 다른 건 신경 쓰지 마 내 목소리에 집중해 상황은 좀 달라져 주위를 맴도는 내가 궁금해 너도 알게 될 거야 뭘까 알 거야 말해 이미 늦어버렸단 걸 맞아 사실 꽤나 자신 있어 난 지는 게임 하진 않아 Ha ah ah 벌써 반쯤은 넘어왔잖아 홀린 듯 날 따라와 모두 환호해 너도 곧 Ooh ooh Oh eh oh eh oh 아닌 척해도 넌 Ooh ooh Oh eh oh eh oh 한 번 내기를 해볼까 너무 쉽겐 오지 마 재미없잖아 거기서 Ooh ooh Oh eh oh eh oh 밀고 당겨볼까 Ooh ooh Oh eh oh eh oh 시작할게 Bad boy down 혼란스런 맘이겠지 상상조차 못할 거야 헤어나려 노력해도 어떤 작은 틈도 없어 정답은 정해져 있어 자연스럽게 넌 따라와 난 널 선택해 난 널 선택했어 이미 홀린 듯 날 따라와 모두 환호해 말했지 Ooh ooh Oh eh oh eh oh 결관 항상 같아 Ooh ooh Oh eh oh eh oh 거봐 내가 또 이겼어 너무 쉽겐 오지 마 재미없잖아 이제 넌 Ooh ooh Oh eh oh eh oh 벗어날 수 없어 Ooh ooh Oh eh oh eh oh 내겐 쉽지 Bad boy down,댄스,2018.01.29,201803
9,Roller Coaster,청하,I remember very first time in love I remember oh oh I remember oh oh 너도 같은 기분일까 so I'm in love I remember oh oh I remember oh 어머 이래도 되는지 싶어 aha 그래 너 때문에 매일 즐거워 조금 서두르는 것 같아도 baby I need your love oh oh I need your love oh oh oh 심장이 훅 내려앉게 달콤해 가끔은 상처받을까 걱정돼 처음부터 모든 걸 알 순 없겠지 하지만 난 다 던져볼래 자꾸 아찔한 이 느낌 위험한 이 느낌 내 손을 꼭 잡아줘 I want you 흔들리지 않게 조금 더 뜨겁게 나를 꼭 더 안아줘 넌 롤러코스터 ooh ahh 롤러코스터 uh woh ahh I need your love ooh ahh baby your love uh woh ahh 빤히 바라볼 때 가슴이 떨려 아닌 척 해봐도 뻔히 다 걸려 내가 먼저 말하지 않아도 이미 다 알아 넌 내 맘과 같아 aha 너무 빠른 건 아닐까 싶어 aha 근데 너 때문에 매일 새로워 조금 서툴러도 눈 감아줘 baby I need your love oh oh I need your love oh oh oh 시간이 멈춘 것처럼 달콤해 갑자기 날 떠날까 봐 걱정돼 처음부터 모든 걸 알 순 없겠지 하지만 난 다 던져볼래 자꾸 아찔한 이 느낌 위험한 이 느낌 내 손을 꼭 잡아줘 I want you 흔들리지 않게 조금 더 뜨겁게 나를 꼭 더 안아줘 넌 롤러코스터 ooh ahh 롤러코스터 uh woh ahh I need your love ooh ahh Baby your love uh woh ahh 어쩌다 찾아온 내 사랑 I love you I love you 모든 게 꿈이 아니기를 I love you I love you Look 넌 롤러코스터 ooh ahh 넌 롤러코스터 baby 롤러코스터 uh woh ahh 롤러코스터 baby I need your love ooh ahh baby I need you love baby your love uh woh ahh 롤러코스터 롤러코스터,댄스,2018.01.17,201803
10,선물,멜로망스,빛이 들어오면 자연스레 뜨던 눈 그렇게 너의 눈빛을 보곤 사랑에 눈을 떴어 항상 알고 있던 것들도 어딘가 새롭게 바뀐 것 같아 남의 얘기 같던 설레는 일들이 내게 일어나고 있어 나에게만 준비된 선물 같아 자그마한 모든 게 커져만 가 항상 평범했던 일상도 특별해지는 이 순간 별생각 없이 지나치던 것들이 이제는 마냥 내겐 예뻐 보이고 내 맘을 설레게 해 항상 어두웠던 것들도 어딘가 빛나고 있는 것 같아 남의 얘기 같던 설레는 일들이 내게 일어나고 있어 나에게만 준비된 선물 같아 자그마한 모든 게 커져만 가 항상 평범했던 일상도 특별해지는 이 순간 너를 알게 된 뒤 보이는 모든 것들이 너무 예뻐 보여 그렇게 신난 아이처럼 순수한 사람이 된 것 같아 나에게만 준비된 선물 같아 자그마한 모든 게 커져만 가 항상 평범했던 일상도 특별해지는 이 순간 깊은 사랑에 빠진 순간,"발라드, 인디음악",2017.07.10,201803
11,내가 더 나빠,헤이즈 (Heize),그리워하면서도 미워했어 널 결국에 난 엄마 앞에서까지도 눈물을 보이고 맘 아프게 하고 그게 불효지 뭐 대체 넌 왜 나라는 사람의 살 만 하던 삶에 들어와 불행하게 만들어 버린 건지 난 묻고 싶고 그 대답을 꼭 듣고 싶다고 못 된 나의 원망뿐이던 문자에 몰래 아파야 했던 네 맘을 이제야 알 것 같아 내가 더 나빠 더 나빠 너보다 나빠 더 나빠 네가 더 아파 더 아팠을걸 이제 와 난 알아 그런 널 알면서 네가 내 곁을 떠나갔단 이유로 널 아프게 했어 나는 너에게 사랑과 웃음만을 줬던 것 같은데 이런 아픔 나는 원하지 않는데 너는 왜 나에게 주고 떠난 건데 매일 되뇌어 나쁜 놈이야 넌 나 없이 너는 괜찮은 거냔 그 말에 눈물은 왜 흘린 건지 묻고 싶어 떠나고 싶지 않아 보였다고 나 좀 안아달라고 억지 부리고 붙잡고 울던 날 보던 네 맘은 어땠을까 내가 더 나빠 더 나빠 너보다 나빠 더 나빠 네가 더 아파 더 아팠을걸 이제 와 난 알아 그런 널 알면서 네가 내 곁을 떠나갔단 이유로 널 아프게 했어 워우 워우 워우 내 미래를 위해서라 했던 그 말을 이제 다 이해했고 너가 없는 지옥 같던 그 시간들 이렇게 잘 견뎌냈으니 나 잘 했다고 이제 나를 안아주면 다시 와 주면 안 될까 내가 더 나빠 더 나빠 너보다 나빠 더 나빠 네가 더 아파 더 아팠을걸 이제 와 난 알아 그런 널 알면서 네가 내 곁을 떠나갔단 이유로 널 아프게 했어,R&B/Soul,2018.03.08,201803
12,비행운,문문 (MoonMoon),매일매일이 잿빛이더라구 팽이돌듯이 빙빙 돌더라구 어른이 라는 따분한 벌레들이 야금야금 꿈을 좀 먹더라구 나는 자라 겨우 내가 되겠지 뿔이 자라난 어른이 될테니 억지로 라도 웃어야지 하는데 그럼에도 좀 울적하더라구 어제와 오늘의 온도가 너무 달라서 비행운이 만들어졌네 내가 머물기에 여기는 너무 높아서 한숨자국만 깊게 드러났네 나는 자라 겨우 내가 되겠지 뿔이 자라난 어른이 될 테니 억지로 라도 웃어야지 하는데 그럼에도 좀 울적 하더라구 어제와 오늘의 온도가 너무 달라서 비행운이 만들어졌네 내가 머물기에 여기는 너무 높아서 한숨자국만 깊게 드러났네 어제와 오늘의 온도가 너무 달라서 비행운이 만들어졌네 내가 머물기에 여기는 너무 높아서 한숨자국만 깊게 드러났네 꼬마가 간직했던 꿈은 무엇일까 오래된 일기장을 꺼내봤네 1996년 7월 20일에 우주 비행사라고 적어놨네,"인디음악, 록/메탈",2016.11.10,201803
13,약속해요 (I.P.U.),Wanna One (워너원),벚꽃이 떨어지던 날 그댈 처음 만났죠 낯설은 떨림과 두려운 설렘들이 뒤섞이던 날 이제서야 말해요 나 많이 겁이 났었죠 어쩌면 그때가 마지막이라고 생각했었기에 서툰 날 가슴에 품어주었던 못난 날 기꺼이 안아주었던 그대 눈빛을 아직도 기억해요 나 왼쪽 가슴에 새길게요 영원히 약속해요 잊지 않겠다고 날 다시 태어나게 해준 널 I promise you I promise you 내가 더 많이 더 잘할게요 약속해요 놓지 않겠다고 내게 빛이 되어준 그댈 I promise you I promise you 빛나던 봄날 앞에 약속해요 단 하나라도 내 편이 되어주길 바랐던 그때 세상이 날 속여도 너만은 날 믿어줬었지 피지 못한 꽃처럼 시들 수도 있던 날 알아봐 줬던 너니까 흔들리던 날 잡아준 너니까 Oh 새삼스레 하루하루가 너무나 소중해 선물 같은 나날 매일매일이 기념일 같아 태양에 안겨버린 달처럼 너무 예쁘게 어떤 빛보다 더 반짝여 영원히 약속해요 잊지 않겠다고 날 다시 태어나게 해준 널 I promise you I promise you 빛나던 봄날 앞에 약속해요 몇 번의 계절이 스치고 시간이 우리를 지나가도 처음의 우리를 잊지 말아요 I promise you baby 기억해요 나조차도 몰랐던 나를 알아봐 줬던 그대가 있어 지금의 내가 있단 걸 걱정 마 I remember 영원히 I remember Forever and ever I promise you 약속해요 변치 않겠다고 지금 이대로 삶의 끝까지 I promise you I promise you 빛나던 봄날 앞에 I promise you Uh Oh Oh Oh Oh Uh Oh Oh Oh Oh I promise you Uh Oh Oh Oh Oh Uh Oh Oh Oh Oh 그대 앞에 나 약속해요,댄스,2018.03.19,201803
14,눈사람,정승환,멀리 배웅하던 길 여전히 나는 그곳에 서서 그대가 사랑한 이 계절의 오고 감을 봅니다 아무 노력 말아요 버거울 땐 언제든 나의 이름을 잊어요 꽃잎이 번지면 당신께도 새로운 봄이 오겠죠 시간이 걸려도 그대 반드시 행복해지세요 그 다음 말은 이젠 내가 해줄 수 없어서 마음속에만 둘게요 꽃잎이 번지면 그럼에도 새로운 봄이 오겠죠 한참이 걸려도 그대 반드시 행복해지세요 끝 눈이 와요 혹시 그대 보고 있나요 슬퍼지도록 시리던 우리의 그 계절이 가요 마지막으로 날 떠올려 준다면 안 되나요 다시 한 번 더 같은 마음이고 싶어 우릴 보내기 전에 몹시 사랑한 날들 영원히 나는 이 자리에서,발라드,2018.02.19,201803
15,My Way,이수 (엠씨더맥스),흐르는 물결이 내 발목에 감겨 나가면 깊은 곳에 숨겨둔 아픈 기억 모두 살아나고 어디에 기대 살아갈까 나를 스쳐가는 그 모든 것들이 상처인데 그댈 그린 밤들이 내게 욕심이란 걸 맘 아프게 알아 나를 택한 운명이 행여 그댈 맴돌아 붙잡지 못하게 이제 그대 곁에서 떠나가 내뱉는 숨마다 가시 돋친 고통이어서 깊은 곳에 숨겨둔 사랑 또한 그저 지워 내고 어디에 기대 살아갈까 나를 스쳐가는 그 모든 것들이 상처인데 그댈 그린 밤들이 내게 사치라는 걸 맘 아프게 알아 나를 택한 운명이 행여 그댈 맴돌아 붙잡지 못하게 이제 그대 곁에서 떠나가 언젠가 그대 곁에 다시 돌아갈 수 있다면 그때가 언제라도 나를 잊지 않았다면 그댈 그린 날들이 내게 마지막 남은 기쁨이었단 걸 내가 택한 운명이 다른 무엇이 아닌 그대뿐이라는 걸 이제 그대 곁에서 영원히,"발라드, 국내드라마",2017.11.11,201803
16,instagram,DEAN,내일이 올 걸 아는데 난 핸드폰을 놓지 못해 잠은 올 생각이 없대 yeah 다시 인스타그램 인스타그램 하네 잘 난 사람 많고 많지 누군 어디를 놀러 갔다지 좋아요는 안 눌렀어 나만 이런 것 같아서 저기 인스타그램 인스타그램 속엔 문제야 문제 온 세상 속에 똑같은 사랑노래가 와 닿지 못해 나의 밤 속엔 생각이 너무 많네 복잡해 틈만 나면 바뀌는 게 관둘래 이 놈의 정보화 시대 단단히 잘못 됐어 요즘은 아는게 더 괴로운 것 같은데 가면 갈 수록 너무 어려워 나만 이런 건지 클럽 말고 뭐 영화 말고 뭐 없나 하다 결국 동네 내 맘에는 구멍이 있어 그건 뭘로도 못 채우는 것 yeah 난 지금 가라앉는 중 인걸 네모난 바다 속에서 문제야 문제 온 세상 속에 똑같은 사랑 노래가 와 닿지 못해 나의 밤 속엔 생각이 너무 많네 뚜루뚜 뚜루뚜 all night 그렇게 시간 낭비를 하네 저 인스타그램 속에서 Lonely lonely so lonely 원래 이리도 힘든가요 no way no way 이 피드 속엔 나완 다른 세상 뿐인데 부질없이 올려 놓은 사진 뒤에 가려진 내 마음을 아는 이 없네 난 또 헤 메이네 저 인스타그램 속에서 그래 너는 요즘 어때 잠 못 자는 건 여전해 자른 단발이 참 예쁘던데 좋아요는 안 눌렀어 조금 웃긴것 같아서 뚜루루뚜 뚜루루뚜 뚜루루뚜 all night 그렇게 시간 낭비를 하네 네 인스타그램 속에서,R&B/Soul,2017.12.26,201803
17,주인공,선미,내 몸이 확 머리가 휙 돌아가 어때 지금 기분이 우리는 마치 자석 같아 서로를 안고 또 밀쳐내니까 너는 날 미치게 하고 정신 못 차리게 해 그래 알겠지 넌 참 날 기가 막히게 해 너는 날 춤추게 하고 술 없이 취하게 해 그래 알겠지 넌 참 착한 날 독하게 해 우리 둘만의 이 영화에 진짜 주인공은 너였어 baby 그래 넌 오늘도 너답게 화려한 주인공처럼 그저 하던 대로 해 그게 악역이라도 나를 슬프게 해도 넌 너여야만 해 내가 아플지라도 슬픈 엔딩이라도 the show must go on the show must go on 너는 늘 끝장을 보고 모든 걸 덮으려 해 왜 날개를 달아주고 추락하자 해 너는 늘 착하지 라며 날 눈물 삼키게 하잖아 그래 알겠지 알겠지 넌 날 혹하게 해 우리 둘만의 이 드라마에 진짜 주인공은 너였어 baby 그래 넌 오늘도 너답게 화려한 주인공처럼 그저 하던 대로 해 그게 악역이라도 나를 슬프게 해도 넌 너여야만 해 내가 아플지라도 슬픈 엔딩이라도 the show must go on the show must go on 그저 하던 대로 해 그게 악역이라도 나를 슬프게 해도 넌 너여야만 해 내가 아플지라도 슬픈 엔딩이라도 the show must go on the show must go on you must go on,댄스,2018.01.18,201803
